keggMetaboliteID	metaboliteName	pathwayEntry	pathwayName	pathwayClass	type
C00199	D-Ribulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00204	2-Dehydro-3-deoxy-D-gluconate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00231	D-Xylulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00259	L-Arabinose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00266	Glycolaldehyde	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00309	D-Ribulose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00310	D-Xylulose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00312	L-Xylulose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00333	D-Galacturonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00379	Xylitol	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00433	2,5-Dioxopentanoate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00470	Pectate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00474	Ribitol	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00476	D-Lyxose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00502	D-Xylonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00508	L-Ribulose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00514	D-Mannonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
